latitude,longitude,name,location,start_date,status,category,police_violence_status,number_of_arrests,image_url,City,Country
30.4133,-91.18,Louisiana State University,Baton,04/25/2024,Ongoing,Solidarity,<NA>,<NA>,https://drive.google.com/thumbnail?id=https:&sz=w320,Baton Rouge,United States
30.0273,-90.068,University of New Orleans,New,04/29/2024,Ongoing,Solidarity,<NA>,<NA>,https://drive.google.com/thumbnail?id=https:&sz=w320,New Orleans,United States
29.9340085,-90.1213712,Loyola University,New,<NA>,Ongoing,Tulane,<NA>,<NA>,/images/Loyola University.jpg,New Orleans,United States
29.9412195,-90.1201009,Tulane University ,New,04/29/2024,Encampment,Encampment,Mass,12,/images/Tulane University.jpg,New Orleans,United States
38.9869,-76.9426,University of Maryland,College,04/22/2024,Encampment,Encampment,<NA>,<NA>,/images/University of Maryland.jpg,College Park,United States
42.3869693,-72.53018467,University of Massachusetts Amherst,"Amherst,",<NA>,Encampment,Encampment,Mass,130,/images/University of Massachusetts Amherst.jpg,,United States
42.34669,-71.088705,Berklee College of Music,"Boston,",04/25/2024,Ongoing,NE,<NA>,<NA>,/images/Berklee College of Music.jpg,Boston,United States
42.3522,-71.0658,Emerson College,"Boston,",04/22/2024,Encampment,Encampment,Mass,108,/images/Emerson College.jpg,Boston,United States
42.3398247,-71.0880961,Northeastern University,"Boston,",04/25/2024,Encampment,Encampment,Mass,102,/images/Northeastern University.jpg,Boston,United States
42.3744,-71.1182,Harvard University,"Cambridge,",04/24/2024,Encampment,Encampment,<NA>,<NA>,/images/Harvard University.jpg,Cambridge,United States
42.3601,-71.0942,Massachusetts Institute of Technology (MIT),"Cambridge,",04/20/2024,Encampment,Encampment,<NA>,<NA>,/images/Massachusetts Institute of Technology MIT.jpg,Cambridge,United States
42.4085,-71.1183,Tufts University,"Medford,",04/22/2024,Encampment,Encampment,<NA>,<NA>,/images/Tufts University.jpg,Somerville,United States
42.31782,-72.636,Smith College,"Northampton,",11/13/2023,Dispersed,Solidarity,<NA>,<NA>,/images/Smith College.jpg,Northampton,United States
42.2771,-83.7382,University of Michigan,Ann,04/24/2024,Encampment,Encampment,Police,Unclear,/images/University of Michigan.jpg,Ann Arbor,United States
42.3593449,-83.06653548,Wayne State University,"Detroit,",04/26/2024,Ongoing,Solidarity,Arrests,1,/images/Wayne State University.jpg,Detroit,United States
42.7023794,-84.4803869,Michigan State University ,East,04/29/2024,<NA>,Encampment,<NA>,<NA>,/images/Michigan State University.jpg,East Lansing,United States
44.9657582,-93.1653392,Hamline University,"St.Paul,",04/28/2024,Encampment,Encampment,<NA>,<NA>,/images/Hamline University.jpg,Saint Paul,United States
44.974,-93.2277,University of Minnesota,Twin,04/23/0204,Encampment,Encampment,Mass,9,/images/University of Minnesota.jpg,Minneapolis,United States
34.3654288,-89.5360744,"University of Mississippi, Ole Miss","Oxford,",<NA>,Encampment,Encampment,<NA>,<NA>,/images/University of Mississippi Ole Miss.jpg,Oxford,United States
38.6490994,-90.3125095,Washington University,St.,04/20/2024,Encampment,Encampment,Mass,112,/images/Washington University.jpg,Saint Louis,United States
46.8619,-113.9846,University of Montana,"Missoula,",<NA>,<NA>,Solidarity,<NA>,<NA>,/images/University of Montana.jpg,Missoula,United States
43.1356,-70.9333,University of New Hampshire,"Durham,",05/01/2024,Ongoing,Encampment,Mass,12,/images/University of New Hampshire.jpg,,United States
43.70454,-72.288986,Dartmouth College,"Hanover,",05/01/2024,Ongoing,Encampment,Mass,90,/images/Dartmouth College.jpg,,United States
40.740687,-74.174889,Rutgers University ,New,04/29/2024,Encampment,Encampment,<NA>,<NA>,/images/Rutgers University.jpg,Newark,United States
40.34399,-74.651451,Princeton University,Princeton,04/25/2024,Encampment,Encampment,Mass,15,/images/Princeton University.jpg,,United States
35.0843,-106.6198,University of New Mexico,"Albuquerque,",04/22/2024,Encampment,Encampment,Mass,16,/images/University of New Mexico.jpg,Albuquerque,United States
42.6935,-73.78988,University of Albany,"Albany,",<NA>,Encampment,Encampment,<NA>,<NA>,/images/University of Albany.jpg,,United States
42.453449,-76.473503,Cornell University,"Ithaca,",04/25/2024,Encampment,Encampment,<NA>,<NA>,/images/Cornell University.jpg,Town of Ithaca,United States
40.82,-73.9493,CUNY (CCNY Campus),New,04/25/2024,Encampment,Encampment,Mass,174,/images/CUNY CCNY Campus.jpg,City of New York,United States
40.74748,-73.99508,Fashion Institute of Technology,New,04/25/2024,Encampment,Encampment,Mass,20,/images/Fashion Institute of Technology.jpg,City of New York,United States
40.7351,-73.9945,Parsons The New School for Design,New,4/29/2024,Encampment,New,<NA>,<NA>,/images/Parsons The New School for Design.jpg,City of New York,United States
40.866989,-73.902077,Fordham University,New,04/25/2024,Encampment,Encampment,Mass,15,/images/Fordham University.jpg,City of New York,United States
43.1306,-77.626,University of Rochester,"Rochester,",04/23/2024,Encampment,Encampment,<NA>,<NA>,/images/University of Rochester.jpg,City of Rochester,United States
40.915509,-73.1216,Stony Brook University,Stony,4/30/2024,Encampment,Encampment,Mass,23,/images/Stony Brook University.jpg,,United States
43.0367954,-76.1290034,Syracuse University,"Syracuse,",4/29/2024,Encampment,Encampment,<NA>,<NA>,/images/Syracuse University.jpg,City of Syracuse,United States
43.03472,-76.13638,SUNY ESF,"Syracuse,",<NA>,Encampment,Syracuse,<NA>,<NA>,/images/SUNY ESF.jpg,City of Syracuse,United States
43.0018,-78.7895,SUNY Buffalo,"Buffalo,",05/01/2024,Ongoing,Encampment,<NA>,<NA>,/images/SUNY Buffalo.jpg,,United States
41.7409828,-74.0834319,SUNY New Paltz,New,05/03/2024,Encampment,Encampment,Mass,133,/images/SUNY New Paltz.jpg,,United States
40.7387319,-73.9823259,School of Visual Arts,New,<NA>,<NA>,Solidarity,<NA>,<NA>,/images/School of Visual Arts.jpg,City of New York,United States
41.0466173,-73.7004411,SUNY Purchase,"Purchase,",<NA>,<NA>,Encampment,Mass,70,/images/SUNY Purchase.jpg,,United States
40.807384,-73.963036,Barnard College,New,04/17/2024,Encampment,Columbia,Mass,<NA>,/images/Barnard College.jpg,City of New York,United States
40.807384,-73.963036,Columbia University,New,04/17/2024,Encampment,Encampment,Mass,227,/images/Columbia University.jpg,City of New York,United States
40.729675,-73.996925,New York University (NYU),New,04/22/2024,Encampment,Encampment,Mass,120,/images/New York University NYU.jpg,City of New York,United States
40.73467706,-73.99150937,The New School,New,04/21/2024,Encampment,Encampment,mass,43,/images/The New School.jpg,City of New York,United States
41.687327,-73.8971473,Vasser College,"Poughkeepsie,",4/30,Encampment,Encampment,<NA>,<NA>,/images/Vasser College.jpg,,United States
35.9049,-79.0469,"University of North Carolina, Chapel Hill",Chapel,04/19/2024,Encampment,Encampment,Mass,30,/images/University of North Carolina Chapel Hill.jpg,Chapel Hill,United States
35.3074,-80.7352,"University of North Carolina, Charlotte","Charlotte,",04/22/2024,Encampment,Encampment,<NA>,<NA>,/images/University of North Carolina Charlotte.jpg,Charlotte,United States
36.038311,-79.034531,North Carolina State,"Raleigh,",04/27/2024,Ongoing,Triangle,Police,<NA>,/images/North Carolina State.jpg,Durham,United States
36.1334383,-80.2772874,Wake Forest University,"Winston-Salem,",05/03/2024,<NA>,Encampment,<NA>,<NA>,/images/Wake Forest University.jpg,Winston-Salem,United States
35.616942,-82.5653565,UNC Ashville,"Ashville,",<NA>,<NA>,Solidarity,<NA>,<NA>,/images/UNC Ashville.jpg,Asheville,United States
36.001427,-78.938232,Duke University,"Durham,",04/27/2024,Ongoing,Triangle,Police,<NA>,/images/Duke University.jpg,Durham,United States
41.5043,-81.6084,Case Western Reserve University,"Cleveland,",4/29/2024,Encampment,Encampment,Mass,<NA>,/images/Case Western Reserve University.jpg,Cleveland,United States
39.99963401,-83.0127008,Ohio State University ,"Columbus,",04/25/2024,Encampment,Encampment,Mass,36,https://drive.google.com/thumbnail?id=view?usp=drive_link&sz=w320,Columbus,United States
41.293347,-82.2212683,Oberlin College,"Oberlin,",4/29/2024,Encampment,Encampment,<NA>,<NA>,/images/Oberlin College.jpg,,United States
39.510532,-84.730881,Miami University,"Oxford,",04/25/2024,Dispersed,Solidarity,<NA>,<NA>,/images/Miami University.jpg,,United States
44.04483,-123.072601,University of Oregon,"Eugene,",<NA>,Encampment,Encampment,<NA>,<NA>,/images/University of Oregon.jpg,Eugene,United States
45.511923,-122.681913,Portland State University ,"Portland,",4/26/2024,Encampment,Encampment,<NA>,<NA>,/images/Portland State University.jpg,Portland,United States
45.481071,-122.6303447,Reed College ,"Portland,",4/29/2024,Encampment,Encampment,<NA>,<NA>,/images/Reed College.jpg,Portland,United States
45.450891,-122.670117,Lewis and Clark College,"Portland,",<NA>,<NA>,Encampment,<NA>,<NA>,/images/Lewis and Clark College.jpg,Portland,United States
40.2032064,-77.2019684,Dickinson College,"Carlisle,",<NA>,Encampment,Upenn,<NA>,<NA>,/images/Dickinson College.jpg,,United States
40.0079856,-75.3062819,Haverford College,Haverford,04/25/2024,Encampment,Encampment,<NA>,<NA>,/images/Haverford College.jpg,Haverford Township,United States
40.02739,-75.315544,Bryn Mawr College,Lower,4/27/24,Encampment,Encampment,<NA>,<NA>,/images/Bryn Mawr College.jpg,Lower Merion Township,United States
39.9569305,-75.18992655,Drexel University,"Philadelphia,",04/25/2024,Dispersed,Upenn,<NA>,<NA>,/images/Drexel University.jpg,Philadelphia,United States
39.981188,-75.15628281,Temple University,"Philadelphia,",04/25/2024,Dispersed,Upenn,<NA>,<NA>,/images/Temple University.jpg,Philadelphia,United States
39.9532284,-75.193971,University of Pennsylvania,"Philadelphia,",04/25/2024,Encampment,Encampment,<NA>,<NA>,/images/University of Pennsylvania.jpg,Philadelphia,United States
40.444,-79.9605,University of Pittsburgh,"Pittsburgh,",04/23/2024,Encampment,Encampment,Arrests,2,/images/University of Pittsburgh.jpg,Pittsburgh,United States
39.9038,-75.3527,Swarthmore College,"Swarthmore,",04/23/2024,Encampment,Encampment,<NA>,<NA>,/images/Swarthmore College.jpg,,United States
41.8268,-71.4025,Brown University,"Providence,",04/24/2024,Encampment,Encampment,Prior,<NA>,/images/Brown University.jpg,Providence,United States
41.8270711,-71.4092687,Rhode Island School of Design,"Providence,",<NA>,<NA>,Occupation,<NA>,<NA>,/images/Rhode Island School of Design.jpg,,United States
33.9916438,-81.0320931,University of South Carolina,"Columbia,",<NA>,Encampment,Encampment,Arrests,2,/images/University of South Carolina.jpg,Columbia,United States
36.1447,-86.8027,Vanderbilt University,"Nashville,",03/26/2024,Encampment,Encampment,<NA>,<NA>,/images/Vanderbilt University.jpg,Nashville-Davidson,United States
35.2041025,-85.9187615,Sewanee: The University of the South,"Sewanee,",<NA>,Encampment,Encampment,Arrersts,5,/images/Sewanee The University of the South.jpg,,United States
32.7314979,-97.1109438,UT Arlington,"Arlington,",04/24/2024,Ongoing,Solidarity,<NA>,<NA>,/images/UT Arlington.jpg,Arlington,United States
30.285,-97.7335,"University of Texas, Austin","Austin,",04/24/2024,Encampment,Encampment,2,136,/images/University of Texas Austin.jpg,Austin,United States
32.9861949,-96.7504227,UT Dallas,"Dallas,",04/23/2024,Dispersed,Solidarity,Mass,Unkown,/images/UT Dallas.jpg,Richardson,United States
29.7174,-95.4018,Rice University,"Houston,",04/23/2024,Encampment,Encampment,<NA>,<NA>,/images/Rice University.jpg,Houston,United States
29.7203711,-95.343647,University of Houston,"Houston,",05/08/2024,<NA>,Encampment,<NA>,<NA>,/images/University of Houston.jpg,Houston,United States
40.7649,-111.8421,University of Utah,Salt,04/29/2024,Encampment,Encampment,Mass,19,/images/University of Utah.jpg,Salt Lake City,United States
44.4779,-73.1936,University of Vermont,"Burlington,",04/28/2024,Encampment,Encampment,<NA>,<NA>,/images/University of Vermont.jpg,Burlington,United States
44.0081,-73.176,Middlebury College,"Middlebury,",04/28/2024,Encampment,Encampment,<NA>,<NA>,https://drive.google.com/thumbnail?id=https:&sz=w320,,United States
37.225,-80.425,Virginia Tech,"Blacksburg,",04/26/2024,Encampment,Encampment,Mass,82,/images/Virginia Tech.jpg,Blacksburg,United States
37.54974,-77.453323,Virginia Commonwealth University,"Richmond,",4/29/2024,Encampment,Encampment,Mass,13,/images/Virginia Commonwealth University.jpg,Richmond,United States
38.03372188,-78.5079772,University of Virginia,"Charlottesville,",04/30/2024,Dispersed,Encampment,"Arrests,",25,/images/University of Virginia.jpg,,United States
38.3044865,-77.4758434,University of Mary Washington,"Fredericksburg,",04/26/2024,Encampment,Encampment,Mass,12,https://drive.google.com/thumbnail?id=https:&sz=w320,Fredericksburg,United States
47.655548,-122.3032,University of Washington,"Seattle,",04/29/2024,Encampment,Encampment,<NA>,<NA>,/images/University of Washington.jpg,Seattle,United States
47.070808,-122.975708,Evergreen State College,"Olympia,",<NA>,Divested,Encampment,<NA>,<NA>,/images/Evergreen State College.jpg,,United States
47.6094687,-122.3188698,Seattle University,"Seattle,",<NA>,<NA>,Solidarity,<NA>,<NA>,/images/Seattle University.jpg,Seattle,United States
38.8997,-77.0471,George Washington University,"Washington,",04/25/2024,Encampment,Encampment,Mass,30,/images/George Washington University.jpg,Washington,United States
38.831493,-77.311485,George Mason University,Fairfax,<NA>,Encampment,DC,<NA>,<NA>,/images/George Mason University.jpg,,United States
38.93804505,-77.08939224,American University,Washington,04/26/2024,Dispersed,DC,<NA>,<NA>,/images/American University.jpg,Washington,United States
38.9083288,-76.99168565,Gallaudet University,Washington,04/26/2024,Dispersed,DC,<NA>,<NA>,/images/Gallaudet University.jpg,Washington,United States
38.907608,-77.072258,Georgetown,Washington,04/26/2024,Ongoing,DC,<NA>,<NA>,/images/Georgetown.jpg,Washington,United States
38.922684,-77.01944,Howard University,Washington,04/26/2024,Ongoing,DC,<NA>,<NA>,/images/Howard University.jpg,Washington,United States
39.32864,-76.62304,Johns Hopkins University,Washington,04/29/2024,Encampment,Encampment,<NA>,<NA>,/images/Johns Hopkins University.jpg,Baltimore,United States
39.2916144,-76.6250253,University of Maryland - Baltimore,Washington,<NA>,Ongoing,DC,<NA>,<NA>,/images/University of Maryland  Baltimore.jpg,Baltimore,United States
43.075,-89.4172,University of Wisconsin Madison,"Madison,",4/29/2024,Encampment,Encampment,<NA>,<NA>,/images/University of Wisconsin Madison.jpg,Madison,United States
43.077639,-87.88194245,University of Wisconsin Milwaukee,"Milwaukee,",<NA>,Encampment,Encampment,<NA>,<NA>,/images/University of Wisconsin Milwaukee.jpg,Milwaukee,United States
14.579,44.3754,Thamar University,<NA>,<NA>,<NA>,Solidarity,<NA>,<NA>,/images/Thamar University.jpg,ذمار,اليمن
45.3995538,11.8800149,University of Padua,<NA>,<NA>,<NA>,Encampment,<NA>,<NA>,/images/University of Padua.jpg,Padova,Italia
35.180101,-111.657693,North Arizona University,<NA>,<NA>,<NA>,Solidarity,mass,24,/images/North Arizona University.jpg,Flagstaff,United States
51.474781,-0.0358987,"Goldsmiths, University of London",<NA>,<NA>,<NA>,<NA>,<NA>,<NA>,/images/Goldsmiths University of London.jpg,London,United Kingdom
54.9782448,-1.6071206,Northumbria University,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>,/images/Northumbria University.jpg,Newcastle upon Tyne,United Kingdom
52.130452,-106.6325605,University of Saskatchewan,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>,/images/University of Saskatchewan.jpg,Saskatoon,Canada
50.6712039,-120.3630137,Thompson River University,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>,/images/Thompson River University.jpg,Kamloops,Canada
49.8075029,-97.13663,University of Manitoba,<NA>,<NA>,<NA>,Encampment,<NA>,<NA>,/images/University of Manitoba.jpg,Winnipeg,Canada
55.9475508,-3.1865823,Edinburgh University,<NA>,<NA>,<NA>,Encampment,<NA>,<NA>,/images/Edinburgh University.jpg,City of Edinburgh,United Kingdom
41.3824466,2.1141413,University of Barcelona ,<NA>,<NA>,<NA>,Encampment,<NA>,<NA>,/images/University of Barcelona.jpg,Barcelona,España
23.7316952,90.3959735,University of Dhaka,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>,/images/University of Dhaka.jpg,ঢাকা,বাংলাদেশ
43.261925,-79.917984,McMaster University,<NA>,<NA>,<NA>,Encampment,<NA>,<NA>,/images/McMaster University.jpg,Hamilton,Canada
55.679029,12.571526,Copenhagen University,<NA>,<NA>,<NA>,Encampment,<NA>,<NA>,/images/Copenhagen University.jpg,København,Danmark
50.7336622,7.1022457,University of Bonn,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>,/images/University of Bonn.jpg,Bonn,Deutschland
40.84424,14.2578506,University of Naples,<NA>,<NA>,<NA>,Encampment,<NA>,<NA>,https://drive.google.com/thumbnail?id=https:&sz=w320,Napoli,Italia
46.1948526,6.1399635,University of Geneva,<NA>,<NA>,<NA>,Occupation,<NA>,<NA>,/images/University of Geneva.jpg,Genève,Schweiz/Suisse/Svizzera/Svizra
46.5223353,6.5796902,Univeristy of Lausanne,<NA>,<NA>,<NA>,Occupation,<NA>,<NA>,/images/Univeristy of Lausanne.jpg,,Schweiz/Suisse/Svizzera/Svizra
47.3763672,8.5475382,Ecole Polytechique de Zurich ,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>,/images/Ecole Polytechique de Zurich.jpg,Zürich,Schweiz/Suisse/Svizzera/Svizra
37.9415407,23.6530656,Piraeus University,<NA>,<NA>,<NA>,Solidarity,<NA>,<NA>,/images/Piraeus University.jpg,Πειραιάς,Ελλάς
40.6294896,22.9616728,Aristotle University,<NA>,<NA>,<NA>,Solidarity,<NA>,<NA>,/images/Aristotle University.jpg,Θεσσαλονίκη,Ελλάς
37.9596291,23.7170648,Panteion University,<NA>,<NA>,<NA>,Solidarity,<NA>,<NA>,/images/Panteion University.jpg,,Ελλάς
46.049095,14.5040857,University of Ljubljana,<NA>,<NA>,<NA>,<NA>,<NA>,<NA>,/images/University of Ljubljana.jpg,Ljubljana,Slovenija
